07.12.2024   N1106
Îáðàçåö: "Âîëüôðàì"
LiF200
Òðóáêà: "40,0/0,100"
        Îòð1            Îòð2
   [ìÀ]  [Èìï/ñ]   [ìÀ]  [Èìï/ñ]
   2847     4,0    1424     8,0
   2849     3,0    1425     5,0
   2851     7,0    1426     7,0
   2853     2,0    1427     3,0
   2855     5,0    1428     5,0
   2857     0,0    1429     3,0
   2859     2,0    1430     2,0
   2861     0,0    1431     1,0
   2863     3,0    1432     3,0
   2865     2,0    1433     4,0
   2867     4,0    1434     6,0
   2869     7,0    1435     5,0
   2871     3,0    1436     3,0
   2873     3,0    1437     6,0
   2875     9,0    1438     5,0
   2877     3,0    1439     3,0
   2879     5,0    1440     6,0
   2881     4,0    1441     2,0
   2883     3,0    1442     5,0
   2885     2,0    1443     5,0
   2887     7,0    1444     6,0
   2889     5,0    1445     2,0
   2891     6,0    1446     3,0
   2893     1,0    1447     4,0
   2895     2,0    1448     6,0
   2897     5,0    1449     1,0
   2899     4,0    1450     3,0
   2901     3,0    1451     8,0
   2903     5,0    1452     4,0
   2905     7,0    1453     4,0
   2907     5,0    1454     3,0
   2909     6,0    1455     6,0
   2911     6,0    1456     7,0
   2913     7,0    1457     5,0
   2915     4,0    1458     4,0
   2917     3,0    1459     6,0
   2919     2,0    1460     7,0
   2921     2,0    1461     4,0
   2923     4,0    1462     4,0
   2925     3,0    1463     5,0
   2927     4,0    1464     5,0
   2929     6,0    1465    10,0
   2931     5,0    1466    18,0
   2933     7,0    1467    21,0
   2935     7,0    1468    10,0
   2937     2,0    1469    25,0
   2939     9,0    1470    39,0
   2941    11,0    1471    59,0
   2943    12,0    1472     147
   2945    20,0    1473     238
   2947    36,0    1474     299
   2949    38,0    1475     303
   2951    22,0    1476     286
   2953    24,0    1477     198
   2955    23,0    1478     121
   2957    13,0    1479    68,0
   2959     4,0    1480    39,0
   2961     5,0    1481    19,0
   2963     9,0    1482    13,0
   2965     4,0    1483    20,0
   2967     7,0    1484    27,0
   2969    11,0    1485    37,0
   2971     4,0    1486    42,0
   2973    10,0    1487    22,0
   2975    11,0    1488    33,0
   2977     5,0    1489    17,0
   2979     8,0    1490    17,0
   2981     2,0    1491     8,0
   2983     3,0    1492    11,0
   2985     5,0    1493     7,0
   2987     4,0    1494     4,0
   2989     2,0    1495     5,0
   2991     5,0    1496     4,0
   2993     2,0    1497     6,0
   2995     5,0    1498     3,0
   2997     6,0    1499     9,0
   2999     5,0    1500     4,0
   3001     1,0    1501     7,0
   3003     6,0    1502     3,0
   3005     3,0    1503     4,0
   3007     1,0    1504     3,0
   3009     2,0    1505     3,0
   3011     3,0    1506     4,0
   3013     6,0    1507     7,0
   3015     2,0    1508     3,0
   3017     5,0    1509     5,0
   3019     2,0    1510     8,0
   3021     4,0    1511     2,0
   3023     3,0    1512     4,0
   3025     2,0    1513     3,0
   3027     2,0    1514     5,0
   3029     5,0    1515     3,0
   3031     2,0    1516     6,0
   3033     3,0    1517     4,0
   3035     4,0    1518     3,0
   3037     3,0    1519     4,0
   3039     1,0    1520     4,0
   3041     6,0    1521     4,0
   3043     4,0    1522     2,0
   3045     3,0    1523     4,0
   3047     0,0    1524     3,0
   3049     4,0    1525     0,0
   3051     5,0    1526     4,0
   3053     4,0    1527     6,0
   3055     2,0    1528     5,0
   3057     4,0    1529     4,0
   3059     4,0    1530     5,0
   3061     1,0    1531     7,0
   3063     1,0    1532     8,0
   3065     3,0    1533     2,0
   3067     0,0    1534     5,0
   3069     2,0    1535     4,0
   3071     3,0    1536     1,0
   3073     3,0    1537     7,0
   3075     3,0    1538    11,0
   3077     3,0    1539    17,0
   3079     6,0    1540    13,0
   3081     5,0    1541    10,0
   3083     3,0    1542     6,0
   3085     6,0    1543    11,0
   3087     4,0    1544    12,0
   3089     4,0    1545     2,0
   3091     4,0    1546     4,0
   3093     0,0    1547     6,0
   3095     6,0    1548     4,0
   3097     3,0    1549     6,0
   3099     3,0    1550     4,0
   3104     0,0    1553     0,0
   3109     0,0    1555     0,0
   3114     0,0    1558     0,0
   3119     0,0    1560     0,0
   3124     0,0    1563     0,0
   3129     0,0    1565     0,0
   3134     0,0    1568     0,0
   3139     0,0    1570     0,0
   3144     0,0    1573     0,0
   3149     0,0    1575     0,0
