07.12.2024   N1106
Образец: "Рений"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2668    10,0    1335     6,0
   2670     7,0    1336     6,0
   2672     5,0    1337     4,0
   2674     3,0    1338     4,0
   2676     9,0    1339     2,0
   2678     6,0    1340     7,0
   2680     7,0    1341     3,0
   2682     6,0    1342     4,0
   2684    10,0    1343     6,0
   2686     5,0    1344     3,0
   2688     5,0    1345     6,0
   2690     4,0    1346     9,0
   2692     3,0    1347     5,0
   2694     9,0    1348     8,0
   2696     9,0    1349     2,0
   2698     6,0    1350     2,0
   2700     7,0    1351     6,0
   2702     5,0    1352     3,0
   2704     7,0    1353     5,0
   2706     5,0    1354     4,0
   2708     9,0    1355     5,0
   2710     8,0    1356     1,0
   2712    10,0    1357     9,0
   2714     5,0    1358     2,0
   2716     9,0    1359     4,0
   2718     8,0    1360     7,0
   2720     9,0    1361     5,0
   2722     8,0    1362     3,0
   2724     1,0    1363     4,0
   2726     3,0    1364     6,0
   2728     1,0    1365     3,0
   2730     8,0    1366     5,0
   2732    12,0    1367     7,0
   2734     7,0    1368     8,0
   2736     4,0    1369    12,0
   2738     8,0    1370     7,0
   2740     9,0    1371    10,0
   2742    10,0    1372    15,0
   2744     2,0    1373    17,0
   2746     7,0    1374    12,0
   2748    12,0    1375     3,0
   2750     8,0    1376     8,0
   2752     3,0    1377    11,0
   2754     4,0    1378     7,0
   2756     5,0    1379     6,0
   2758     2,0    1380     8,0
   2760     5,0    1381     6,0
   2762     5,0    1382     8,0
   2764    10,0    1383     4,0
   2766     6,0    1384     1,0
   2768     6,0    1385     7,0
   2770     6,0    1386     3,0
   2772     4,0    1387     5,0
   2775     6,0    1388     7,0
   2777     5,0    1389     5,0
   2779     7,0    1390     3,0
   2781     6,0    1391     8,0
   2783     5,0    1392     4,0
   2785     9,0    1393     1,0
   2787     5,0    1394     4,0
   2789     9,0    1395     5,0
   2791    12,0    1396     5,0
   2793     5,0    1397     2,0
   2795     9,0    1398     7,0
   2797     3,0    1399     4,0
   2799     6,0    1400     9,0
   2801     5,0    1401     4,0
   2803     2,0    1402     5,0
   2805    11,0    1403     5,0
   2807     5,0    1404     9,0
   2809     6,0    1405     7,0
   2811     8,0    1406     8,0
   2813     9,0    1407     3,0
   2815     5,0    1408     5,0
   2817     6,0    1409     3,0
   2819     4,0    1410     8,0
   2821     8,0    1411     3,0
   2823     8,0    1412     3,0
   2825     5,0    1413     3,0
   2827     2,0    1414     4,0
   2829     3,0    1415     7,0
   2831     8,0    1416     6,0
   2833     3,0    1417    10,0
   2835     7,0    1418     3,0
   2837     9,0    1419     9,0
   2839     5,0    1420     8,0
   2841     5,0    1421    13,0
   2843     5,0    1422     7,0
   2845     3,0    1423    12,0
   2847     6,0    1424    24,0
   2849     7,0    1425    31,0
   2851     8,0    1426    54,0
   2853     9,0    1427     106
   2855     9,0    1428     161
   2857    23,0    1429     293
   2859    30,0    1430     360
   2861    35,0    1431     370
   2863    35,0    1432     364
   2865    27,0    1433     261
   2867    18,0    1434     203
   2869     9,0    1435     107
   2871    11,0    1436    60,0
   2873     3,0    1437    35,0
   2875     7,0    1438    23,0
   2877     6,0    1439    25,0
   2879     5,0    1440    32,0
   2881     7,0    1441    48,0
   2883     4,0    1442    43,0
   2885     9,0    1443    39,0
   2887     6,0    1444    25,0
   2889     8,0    1445    23,0
   2891     5,0    1446    15,0
