07.12.2024   N1106
Образец: "Ртуть"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2965     4,0    1483     5,0
   2967     1,0    1484     4,0
   2969     1,0    1485     3,0
   2971     2,0    1486     4,0
   2973     4,0    1487     6,0
   2975     2,0    1488     5,0
   2977     2,0    1489     4,0
   2979     3,0    1490     2,0
   2981     3,0    1491     3,0
   2983     4,0    1492     3,0
   2985     2,0    1493     2,0
   2987     1,0    1494     4,0
   2989     2,0    1495     3,0
   2991     6,0    1496     4,0
   2993     1,0    1497     3,0
   2995     2,0    1498     5,0
   2997     4,0    1499     3,0
   2999     2,0    1500     5,0
   3004     0,0    1502     0,0
   3009     0,0    1505     0,0
   3014     0,0    1508     0,0
   3019     0,0    1510     0,0
   3024     0,0    1512    33,6
   3029     0,0    1515     0,0
   3034     0,0    1518     0,0
   3039     0,0    1520     0,0
   3044     0,0    1522     0,0
   3049     0,0    1525     0,0
   3054     0,0    1528     0,0
   3059     0,0    1530     0,0
   3064     0,0    1533     0,0
   3069     0,0    1535    33,6
   3074     0,0    1538    33,6
   3079     0,0    1540     0,0
   3084     0,0    1543     0,0
   3089     0,0    1545     0,0
   3094     0,0    1548     0,0
   3099     0,0    1550    33,6
   3104     0,0    1553     0,0
   3109     0,0    1555     0,0
   3114     0,0    1558     0,0
   3119     0,0    1560     0,0
   3124     0,0    1563     0,0
   3129     0,0    1565     0,0
   3134     0,0    1568     0,0
   3139     0,0    1570     0,0
   3144     0,0    1573     0,0
   3149     0,0    1575     0,0
